datetime,open,high,low,close,volume
2025-01-21 00:00:00,1.04209,1.04345,1.03515,1.03627,11139
2025-01-21 01:00:00,1.03593,1.03974,1.03549,1.03696,13165
2025-01-21 02:00:00,1.03701,1.03903,1.0368,1.03877,8365
2025-01-21 03:00:00,1.03875,1.04006,1.03849,1.03875,7242
2025-01-21 04:00:00,1.03872,1.0399,1.0384,1.03897,5181
2025-01-21 05:00:00,1.03896,1.03922,1.03772,1.03788,4743
2025-01-21 06:00:00,1.03788,1.0382,1.0366,1.03691,6401
2025-01-21 07:00:00,1.03685,1.03861,1.0363,1.03733,8731
2025-01-21 08:00:00,1.03721,1.0373,1.035,1.03609,10302
2025-01-21 09:00:00,1.03606,1.0364,1.0341,1.03533,10853
2025-01-21 10:00:00,1.03525,1.03595,1.0342,1.03531,9628
2025-01-21 11:00:00,1.0353,1.0358,1.0341,1.03534,8595
2025-01-21 12:00:00,1.03531,1.03581,1.0344,1.03541,10245
2025-01-21 13:00:00,1.03541,1.0379,1.0352,1.03775,11374
2025-01-21 14:00:00,1.03778,1.03982,1.03719,1.03884,13921
2025-01-21 15:00:00,1.03866,1.04106,1.03785,1.04003,14901
2025-01-21 16:00:00,1.04001,1.0423,1.0398,1.04227,11850
2025-01-21 17:00:00,1.04226,1.04298,1.042,1.042,9077
2025-01-21 18:00:00,1.04211,1.04353,1.0419,1.04284,7129
2025-01-21 19:00:00,1.04289,1.04305,1.0414,1.04177,6977
2025-01-21 20:00:00,1.04177,1.0422,1.0415,1.04201,5672
2025-01-21 21:00:00,1.04194,1.043,1.04123,1.0428,2969
2025-01-21 22:00:00,1.0428,1.0435,1.04111,1.0426,1846
2025-01-21 23:00:00,1.04266,1.04273,1.03917,1.04052,7193
2025-01-22 00:00:00,1.04056,1.0425,1.04056,1.04231,5856
2025-01-22 01:00:00,1.04228,1.04232,1.0406,1.04094,6111
2025-01-22 02:00:00,1.04095,1.04163,1.0405,1.04137,5556
2025-01-22 03:00:00,1.04137,1.04157,1.0409,1.04117,4121
2025-01-22 04:00:00,1.04118,1.04212,1.041,1.04172,3532
2025-01-22 05:00:00,1.04171,1.04179,1.04079,1.04155,4411
2025-01-22 06:00:00,1.04153,1.04186,1.0399,1.04036,6532
2025-01-22 07:00:00,1.04038,1.042,1.0402,1.04113,8299
2025-01-22 08:00:00,1.04116,1.0425,1.0408,1.0423,11173
2025-01-22 09:00:00,1.04229,1.04473,1.0418,1.04468,11049
2025-01-22 10:00:00,1.04465,1.04572,1.0442,1.04498,9692
2025-01-22 11:00:00,1.04492,1.04563,1.0439,1.0443,7697
2025-01-22 12:00:00,1.04426,1.0443,1.043,1.04379,8299
2025-01-22 13:00:00,1.04379,1.0446,1.0422,1.04312,10431
2025-01-22 14:00:00,1.04309,1.0432,1.0413,1.0423,12448
2025-01-22 15:00:00,1.04246,1.0425,1.0413,1.04196,12268
2025-01-22 16:00:00,1.04192,1.0423,1.0412,1.04195,9218
2025-01-22 17:00:00,1.04195,1.04206,1.0411,1.0417,7272
2025-01-22 18:00:00,1.04171,1.04212,1.041,1.04159,6070
2025-01-22 19:00:00,1.0416,1.0423,1.0415,1.042,5655
2025-01-22 20:00:00,1.04194,1.0423,1.041,1.0412,5374
2025-01-22 21:00:00,1.0412,1.0414,1.0406,1.04065,3277
2025-01-22 22:00:00,1.04065,1.0415,1.03513,1.04078,1178
2025-01-22 23:00:00,1.04077,1.04091,1.0404,1.04076,2809
2025-01-23 00:00:00,1.04077,1.04118,1.0406,1.04103,4552
2025-01-23 01:00:00,1.04104,1.0416,1.0401,1.04035,7402
2025-01-23 02:00:00,1.04035,1.04062,1.0396,1.04038,5479
2025-01-23 03:00:00,1.04037,1.041,1.04029,1.04088,4086
2025-01-23 04:00:00,1.04088,1.0414,1.0407,1.04108,3714
2025-01-23 05:00:00,1.04108,1.04116,1.0403,1.04054,4558
2025-01-23 06:00:00,1.04051,1.0413,1.0402,1.04034,5116
2025-01-23 07:00:00,1.04032,1.0406,1.03893,1.04003,8543
2025-01-23 08:00:00,1.04001,1.0403,1.039,1.03939,8611
2025-01-23 09:00:00,1.03939,1.04148,1.03931,1.04118,8984
2025-01-23 10:00:00,1.04113,1.0421,1.0409,1.04103,7316
2025-01-23 11:00:00,1.04112,1.0414,1.04009,1.04032,7913
2025-01-23 12:00:00,1.04022,1.04061,1.0393,1.04035,8569
2025-01-23 13:00:00,1.04035,1.04148,1.0396,1.04104,11771
2025-01-23 14:00:00,1.04107,1.04178,1.0405,1.04088,10819
2025-01-23 15:00:00,1.04088,1.04097,1.0386,1.03973,12069
2025-01-23 16:00:00,1.03972,1.04292,1.03712,1.04196,16243
2025-01-23 17:00:00,1.04182,1.04377,1.04138,1.04354,9949
2025-01-23 18:00:00,1.04353,1.04369,1.0421,1.04237,7306
2025-01-23 19:00:00,1.04233,1.04267,1.0419,1.0423,6585
2025-01-23 20:00:00,1.04224,1.0429,1.0415,1.04175,6418
2025-01-23 21:00:00,1.04168,1.04194,1.0412,1.0414,3287
2025-01-23 22:00:00,1.04148,1.0429,1.04083,1.04166,1462
2025-01-23 23:00:00,1.04169,1.0418,1.04126,1.04154,1999
2025-01-24 00:00:00,1.04157,1.0424,1.0412,1.04188,4296
2025-01-24 01:00:00,1.04191,1.04202,1.0411,1.04157,5247
2025-01-24 02:00:00,1.04159,1.045,1.0415,1.04487,9203
2025-01-24 03:00:00,1.04483,1.04541,1.04364,1.04462,8638
2025-01-24 04:00:00,1.04455,1.0452,1.0442,1.04473,6268
2025-01-24 05:00:00,1.04479,1.0455,1.0443,1.0451,5070
2025-01-24 06:00:00,1.04513,1.047,1.04489,1.04566,8768
2025-01-24 07:00:00,1.04566,1.04649,1.0446,1.04606,10296
2025-01-24 08:00:00,1.04607,1.0495,1.04579,1.04933,12944
2025-01-24 09:00:00,1.0491,1.0516,1.0489,1.04945,11763
2025-01-24 10:00:00,1.04944,1.04978,1.0485,1.04891,8472
2025-01-24 11:00:00,1.04881,1.04931,1.048,1.04859,7859
2025-01-24 12:00:00,1.04845,1.0488,1.0472,1.04733,8002
2025-01-24 13:00:00,1.04731,1.04799,1.0463,1.04686,9611
2025-01-24 14:00:00,1.04685,1.0494,1.0466,1.04916,11710
2025-01-24 15:00:00,1.04883,1.05205,1.04883,1.05163,14364
2025-01-24 16:00:00,1.05156,1.05204,1.05046,1.05144,11202
2025-01-24 17:00:00,1.05137,1.05215,1.05089,1.0511,7797
2025-01-24 18:00:00,1.05108,1.05118,1.0493,1.04951,6056
2025-01-24 19:00:00,1.04951,1.0499,1.0491,1.04952,5305
2025-01-24 20:00:00,1.04944,1.04962,1.0487,1.04946,5188
2025-01-24 21:00:00,1.04944,1.0503,1.02299,1.03305,3262
2025-01-26 22:00:00,1.04754,1.04833,1.04754,1.04818,410
2025-01-26 23:00:00,1.0481,1.04834,1.04645,1.04672,1860
2025-01-27 00:00:00,1.04668,1.0476,1.04648,1.04726,2697
2025-01-27 01:00:00,1.04724,1.0479,1.046,1.04625,5476
2025-01-27 02:00:00,1.04625,1.0467,1.0458,1.0466,5856
2025-01-27 03:00:00,1.04658,1.04775,1.0462,1.04683,6189
2025-01-27 04:00:00,1.04685,1.047,1.0459,1.04632,4640
2025-01-27 05:00:00,1.04631,1.0465,1.0454,1.04626,5185
2025-01-27 06:00:00,1.04629,1.04652,1.0455,1.04588,6007
2025-01-27 07:00:00,1.04588,1.0471,1.0453,1.0457,9593
2025-01-27 08:00:00,1.04566,1.04888,1.04541,1.04881,11859
2025-01-27 09:00:00,1.04878,1.0494,1.04749,1.04882,12732
2025-01-27 10:00:00,1.04888,1.0509,1.04886,1.0505,12670
2025-01-27 11:00:00,1.05052,1.05182,1.0503,1.05132,11487
2025-01-27 12:00:00,1.0513,1.05281,1.0508,1.05213,10457
2025-01-27 13:00:00,1.05203,1.05331,1.05088,1.05197,13138
2025-01-27 14:00:00,1.05197,1.05244,1.0507,1.05091,13599
2025-01-27 15:00:00,1.0509,1.05099,1.0492,1.0497,12903
2025-01-27 16:00:00,1.0499,1.0508,1.0488,1.04908,11650
2025-01-27 17:00:00,1.04909,1.0495,1.0484,1.04887,9600
2025-01-27 18:00:00,1.04883,1.04942,1.0481,1.0485,8526
2025-01-27 19:00:00,1.04848,1.0493,1.0479,1.04923,7639
2025-01-27 20:00:00,1.04926,1.04941,1.0486,1.04883,6295
2025-01-27 21:00:00,1.04879,1.04923,1.0485,1.04905,3394
2025-01-27 22:00:00,1.0491,1.0495,1.0479,1.04886,1384
2025-01-27 23:00:00,1.04888,1.04891,1.04279,1.0435,9741
2025-01-28 00:00:00,1.0437,1.04518,1.04322,1.04451,8409
2025-01-28 01:00:00,1.04452,1.04565,1.04294,1.04396,6649
2025-01-28 02:00:00,1.0436,1.04417,1.04237,1.04334,7821
2025-01-28 03:00:00,1.04335,1.04394,1.0428,1.04289,5433
2025-01-28 04:00:00,1.04295,1.0435,1.0424,1.04334,4482
2025-01-28 05:00:00,1.0434,1.04392,1.0432,1.04365,3761
2025-01-28 06:00:00,1.04365,1.04444,1.0433,1.0438,4842
2025-01-28 07:00:00,1.0437,1.04429,1.0427,1.0434,8808
2025-01-28 08:00:00,1.04344,1.0436,1.04186,1.0425,10779
2025-01-28 09:00:00,1.04253,1.0445,1.0421,1.0435,10163
2025-01-28 10:00:00,1.04349,1.04375,1.0423,1.04249,8055
2025-01-28 11:00:00,1.04246,1.0433,1.0422,1.0423,6984
2025-01-28 12:00:00,1.04226,1.04256,1.04123,1.04203,9045
2025-01-28 13:00:00,1.04199,1.04312,1.0416,1.04246,9990
2025-01-28 14:00:00,1.04242,1.04408,1.0423,1.04317,11049
2025-01-28 15:00:00,1.04313,1.044,1.04206,1.04237,11441
2025-01-28 16:00:00,1.04235,1.04329,1.0421,1.0426,10327
2025-01-28 17:00:00,1.0426,1.0435,1.0424,1.04279,7187
2025-01-28 18:00:00,1.04281,1.04383,1.04229,1.04262,8031
2025-01-28 19:00:00,1.04262,1.0437,1.0421,1.04347,6738
2025-01-28 20:00:00,1.0435,1.04355,1.0428,1.04315,6380
2025-01-28 21:00:00,1.04315,1.0434,1.0429,1.04295,4224
2025-01-28 22:00:00,1.04295,1.0434,1.04134,1.04282,1069
2025-01-28 23:00:00,1.0429,1.043,1.0425,1.04269,2033
2025-01-29 00:00:00,1.04271,1.0435,1.0425,1.04302,4206
2025-01-29 01:00:00,1.04307,1.04341,1.04269,1.04272,4174
2025-01-29 02:00:00,1.04268,1.0436,1.0425,1.04335,3768
2025-01-29 03:00:00,1.04335,1.0439,1.0431,1.04375,4179
2025-01-29 04:00:00,1.04371,1.04425,1.0436,1.04386,3424
2025-01-29 05:00:00,1.04382,1.0441,1.0434,1.04404,3580
2025-01-29 06:00:00,1.04403,1.0444,1.0436,1.0437,5046
2025-01-29 07:00:00,1.0437,1.04378,1.0413,1.0416,7908
2025-01-29 08:00:00,1.0416,1.04306,1.0416,1.04244,9278
2025-01-29 09:00:00,1.04241,1.0425,1.04016,1.0404,9404
2025-01-29 10:00:00,1.04033,1.04085,1.03943,1.04033,8141
2025-01-29 11:00:00,1.04038,1.04082,1.0396,1.04012,7592
2025-01-29 12:00:00,1.04016,1.0405,1.03927,1.0404,8877
2025-01-29 13:00:00,1.0404,1.04057,1.03818,1.03871,11481
2025-01-29 14:00:00,1.03877,1.04015,1.03857,1.04009,10905
2025-01-29 15:00:00,1.04005,1.04272,1.0394,1.04195,13107
2025-01-29 16:00:00,1.04194,1.04241,1.04109,1.04157,11389
2025-01-29 17:00:00,1.0415,1.0429,1.04145,1.04211,9920
2025-01-29 18:00:00,1.04212,1.0425,1.04149,1.04203,7443
2025-01-29 19:00:00,1.04203,1.04286,1.03877,1.0416,17106
2025-01-29 20:00:00,1.04157,1.04256,1.04042,1.04105,11263
2025-01-29 21:00:00,1.04102,1.0422,1.0407,1.04201,4437
2025-01-29 22:00:00,1.04201,1.0425,1.04043,1.04197,774
2025-01-29 23:00:00,1.04195,1.0427,1.0417,1.04239,1858
2025-01-30 00:00:00,1.04241,1.0429,1.0422,1.04261,2100
2025-01-30 01:00:00,1.04252,1.0426,1.0417,1.04196,2172
2025-01-30 02:00:00,1.04199,1.0427,1.0418,1.04228,3760
2025-01-30 03:00:00,1.0423,1.0427,1.0421,1.04251,3982
2025-01-30 04:00:00,1.04251,1.04276,1.0416,1.0417,3688
2025-01-30 05:00:00,1.04191,1.04221,1.0416,1.04216,3619
2025-01-30 06:00:00,1.0422,1.0424,1.0409,1.04137,4644
2025-01-30 07:00:00,1.04138,1.04238,1.0409,1.04231,6657
2025-01-30 08:00:00,1.04237,1.04288,1.04154,1.04219,8941
2025-01-30 09:00:00,1.04202,1.04228,1.0402,1.04068,10039
2025-01-30 10:00:00,1.0406,1.04122,1.03953,1.04006,8370
2025-01-30 11:00:00,1.04006,1.0401,1.0391,1.03918,7910
2025-01-30 12:00:00,1.03918,1.04058,1.039,1.04034,8004
2025-01-30 13:00:00,1.04027,1.046,1.04,1.04555,13579
2025-01-30 14:00:00,1.04523,1.04678,1.04188,1.04271,14480
2025-01-30 15:00:00,1.04276,1.04416,1.04258,1.04312,11907
2025-01-30 16:00:00,1.04306,1.04348,1.0416,1.04197,9313
2025-01-30 17:00:00,1.04197,1.04232,1.0408,1.0416,8328
2025-01-30 18:00:00,1.0417,1.0426,1.04148,1.0424,5358
2025-01-30 19:00:00,1.0425,1.043,1.0422,1.04281,4382
2025-01-30 20:00:00,1.04278,1.0433,1.03855,1.04072,9252
2025-01-30 21:00:00,1.04071,1.0414,1.03866,1.03903,6724
2025-01-30 22:00:00,1.03903,1.0399,1.03837,1.03852,727
2025-01-30 23:00:00,1.03859,1.03978,1.03847,1.03963,1893
2025-01-31 00:00:00,1.03965,1.0402,1.0384,1.03864,2488
2025-01-31 01:00:00,1.03856,1.0393,1.03765,1.0388,3491
2025-01-31 02:00:00,1.03884,1.0395,1.0386,1.03893,5466
2025-01-31 03:00:00,1.03896,1.0392,1.0382,1.03847,4727
2025-01-31 04:00:00,1.03845,1.039,1.0382,1.03874,4085
2025-01-31 05:00:00,1.03872,1.0392,1.0384,1.03886,4521
2025-01-31 06:00:00,1.03887,1.0396,1.0386,1.0394,4771
2025-01-31 07:00:00,1.03942,1.04128,1.03909,1.04037,8428
2025-01-31 08:00:00,1.04028,1.04067,1.038,1.03832,9241
2025-01-31 09:00:00,1.03815,1.03851,1.03641,1.03835,11075
2025-01-31 10:00:00,1.03834,1.0384,1.0372,1.03764,8865
2025-01-31 11:00:00,1.03764,1.0381,1.0371,1.03749,7616
2025-01-31 12:00:00,1.03759,1.03857,1.0374,1.03828,7554
2025-01-31 13:00:00,1.03826,1.03953,1.03764,1.03825,12102
2025-01-31 14:00:00,1.03821,1.03826,1.0366,1.03684,12398
2025-01-31 15:00:00,1.03687,1.04006,1.0359,1.03964,13449
2025-01-31 16:00:00,1.03964,1.04076,1.03857,1.03997,11376
2025-01-31 17:00:00,1.03992,1.04338,1.03883,1.04196,14296
2025-01-31 18:00:00,1.04198,1.04217,1.03617,1.037,14651
2025-01-31 19:00:00,1.03697,1.03791,1.0363,1.03764,11387
2025-01-31 20:00:00,1.03755,1.0383,1.0362,1.03735,10466
2025-01-31 21:00:00,1.03731,1.0387,1.03495,1.0356,8414
2025-02-02 22:00:00,1.02318,1.0255,1.02318,1.02492,638
2025-02-02 23:00:00,1.02504,1.02693,1.02341,1.02466,4521
2025-02-03 00:00:00,1.02464,1.02668,1.02097,1.02313,6189
2025-02-03 01:00:00,1.02302,1.0252,1.0221,1.02374,4995
2025-02-03 02:00:00,1.02375,1.02379,1.022,1.02235,9961
2025-02-03 03:00:00,1.02237,1.0225,1.0211,1.022,7661
2025-02-03 04:00:00,1.02212,1.02395,1.022,1.02267,8975
2025-02-03 05:00:00,1.02268,1.02433,1.02252,1.02404,7481
2025-02-03 06:00:00,1.02403,1.02516,1.0239,1.02429,8613
2025-02-03 07:00:00,1.02428,1.02492,1.0221,1.02243,11438
2025-02-03 08:00:00,1.02247,1.02512,1.02127,1.02434,12753
2025-02-03 09:00:00,1.02432,1.02544,1.0225,1.02311,10390
2025-02-03 10:00:00,1.02278,1.02445,1.02278,1.02438,9385
2025-02-03 11:00:00,1.02437,1.02558,1.0234,1.0252,9193
2025-02-03 12:00:00,1.02516,1.0278,1.0248,1.02577,8932
2025-02-03 13:00:00,1.02571,1.0289,1.02571,1.02634,11320
2025-02-03 14:00:00,1.02627,1.02659,1.0246,1.02498,13424
2025-02-03 15:00:00,1.0245,1.03357,1.02401,1.03153,19574
2025-02-03 16:00:00,1.03147,1.0322,1.02727,1.02801,18096
2025-02-03 17:00:00,1.02798,1.03018,1.02708,1.02798,13236
2025-02-03 18:00:00,1.02785,1.02876,1.02685,1.0278,11245
2025-02-03 19:00:00,1.02785,1.02972,1.02785,1.0284,8741
2025-02-03 20:00:00,1.02848,1.02994,1.0282,1.02956,7924
2025-02-03 21:00:00,1.02947,1.035,1.0291,1.03424,8627
2025-02-03 22:00:00,1.03424,1.0347,1.0326,1.03398,773
2025-02-03 23:00:00,1.034,1.03498,1.0325,1.03275,3063
2025-02-04 00:00:00,1.03281,1.03307,1.0315,1.03178,2989
2025-02-04 01:00:00,1.0317,1.0323,1.0308,1.03217,3861
2025-02-04 02:00:00,1.03214,1.0324,1.0315,1.0322,7454
2025-02-04 03:00:00,1.03218,1.0324,1.031,1.03147,6817
2025-02-04 04:00:00,1.03148,1.03152,1.0305,1.0307,5986
2025-02-04 05:00:00,1.0306,1.0306,1.02715,1.02928,11460
2025-02-04 06:00:00,1.02932,1.03077,1.0291,1.03065,7434
2025-02-04 07:00:00,1.03057,1.03171,1.0299,1.0311,8430
2025-02-04 08:00:00,1.03111,1.03356,1.0308,1.03338,12516
2025-02-04 09:00:00,1.03336,1.035,1.0332,1.03388,10292
2025-02-04 10:00:00,1.03373,1.0344,1.0325,1.0335,8066
2025-02-04 11:00:00,1.03347,1.03352,1.0321,1.0322,7584
2025-02-04 12:00:00,1.03221,1.03284,1.0319,1.03253,8051
2025-02-04 13:00:00,1.03251,1.03405,1.0322,1.03402,10218
2025-02-04 14:00:00,1.03402,1.03662,1.0339,1.036,12769
2025-02-04 15:00:00,1.03586,1.03859,1.03557,1.03802,15224
2025-02-04 16:00:00,1.03799,1.0388,1.0372,1.03785,11716
2025-02-04 17:00:00,1.03785,1.038,1.0365,1.03767,10676
2025-02-04 18:00:00,1.03764,1.03863,1.0373,1.03812,7820
2025-02-04 19:00:00,1.03808,1.0386,1.0375,1.03819,7690
2025-02-04 20:00:00,1.03812,1.0386,1.0379,1.03851,7046
2025-02-04 21:00:00,1.03855,1.03876,1.0376,1.03782,4164
2025-02-04 22:00:00,1.03782,1.0381,1.03696,1.0377,1044
2025-02-04 23:00:00,1.0378,1.0382,1.037,1.0371,1748
2025-02-05 00:00:00,1.03716,1.03815,1.0369,1.03784,2557
2025-02-05 01:00:00,1.03786,1.03861,1.0372,1.03734,3713
2025-02-05 02:00:00,1.0373,1.0385,1.0371,1.03844,6869
2025-02-05 03:00:00,1.03843,1.03861,1.0378,1.03792,5487
2025-02-05 04:00:00,1.03797,1.0383,1.0375,1.03783,4773
2025-02-05 05:00:00,1.03786,1.0379,1.0372,1.03779,5364
2025-02-05 06:00:00,1.03777,1.0395,1.0373,1.03846,6374
2025-02-05 07:00:00,1.03848,1.04095,1.03819,1.04024,9129
2025-02-05 08:00:00,1.04005,1.0409,1.03903,1.04033,11394
2025-02-05 09:00:00,1.04037,1.04169,1.04,1.04038,10762
2025-02-05 10:00:00,1.04031,1.04305,1.0401,1.04251,9874
2025-02-05 11:00:00,1.04252,1.04253,1.041,1.04147,7879
